# system buffer_A water_residues
BV       3.50    221
BV       4.00    265
BV       4.50    303
BV       5.00    335
MEA      4.00     50
MEA      5.00     88
MEA      5.50    116
TPS      3.50    153
TPS      4.00    194
TPS      4.50    236
TPS      5.00    289
