# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 424 92 31.336000
1 425 27 9.428000
2 425 23 8.244000
3 426 24 8.587000
4 423 23 8.015000
5 425 24 8.741000
6 425 22 7.841000
7 427 23 8.245000
8 428 25 8.917000
9 425 27 9.715000
10 426 29 10.501000
11 427 27 9.838000
12 426 23 8.498000
13 427 25 9.203000
14 425 25 9.281000
15 420 22 8.269000
16 421 23 8.463000
17 424 25 9.352000
18 425 28 10.097000
19 425 25 9.225000
20 425 23 8.487000
21 424 23 8.530000
22 424 24 9.017000
23 424 25 9.216000
24 424 25 9.119000
25 424 23 8.487000
26 423 26 9.569000
27 419 27 10.043000
28 408 27 9.930000
29 409 40 14.934000
30 411 26 9.628000
31 410 24 9.211000
32 409 22 8.384000
33 409 24 8.820000
34 409 23 8.390000
35 409 24 8.690000
36 411 22 7.979000
37 410 23 8.786000
38 411 27 10.276000
39 411 23 8.539000
40 410 23 8.339000
41 411 25 8.962000
42 412 19 6.905000
43 413 24 8.573000
44 417 26 9.246000
45 417 25 8.939000
46 417 24 8.718000
47 418 24 8.842000
48 419 24 9.418000
49 419 23 9.368000
50 419 22 8.707000
51 420 21 7.764000
52 420 20 7.288000
53 418 22 7.930000
54 416 22 8.012000
55 416 22 8.036000
56 417 24 8.743000
57 417 26 9.377000
58 427 22 8.063000
59 427 20 7.330000
60 427 23 8.376000
61 424 14 5.240000
62 425 20 7.303000
63 424 20 7.426000
64 429 20 7.429000
65 429 20 7.387000
66 429 21 7.763000
67 427 22 8.073000
68 409 23 8.500000
69 417 25 9.046000
70 419 22 8.111000
71 421 20 7.374000
72 420 20 7.334000
73 421 22 7.992000
74 421 23 8.357000
75 422 21 7.638000
76 419 21 7.552000
77 419 20 7.205000
78 419 20 7.245000
79 419 21 7.592000
80 420 21 7.531000
81 420 20 7.230000
82 420 22 7.888000
83 416 23 8.280000
84 416 22 7.937000
85 418 21 7.601000
86 419 23 8.286000
87 419 20 7.335000
88 419 21 7.648000
89 419 20 7.323000
90 420 24 8.680000
91 421 20 7.322000
92 421 22 7.999000
93 421 19 6.907000
94 420 20 7.284000
95 422 20 7.387000
96 422 21 7.768000
97 422 19 6.998000
