# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
287 123 7 0.659000
288 123 6 0.619000
289 123 6 0.600000
290 124 6 0.580000
291 124 7 0.664000
292 123 6 0.588000
293 123 6 0.604000
294 122 6 0.620000
295 124 7 0.739000
296 124 6 0.594000
297 125 7 0.687000
298 125 7 0.686000
299 125 7 0.670000
300 125 7 0.715000
301 125 7 0.692000
302 123 7 0.691000
303 124 7 0.696000
304 124 7 0.685000
305 124 7 0.731000
306 122 7 0.672000
307 122 8 0.791000
308 123 7 0.719000
309 123 7 0.723000
310 125 6 0.633000
311 125 6 0.589000
312 125 7 0.688000
313 123 6 0.608000
314 123 7 0.682000
315 121 7 0.734000
316 122 6 0.615000
317 122 6 0.590000
318 122 7 0.670000
319 122 7 0.689000
320 122 6 0.567000
321 121 6 0.594000
322 121 7 0.626000
323 122 6 0.592000
324 122 5 0.533000
325 123 7 0.682000
326 123 7 0.692000
327 123 7 0.715000
328 115 6 0.579000
329 115 6 0.568000
330 115 6 0.576000
331 115 7 0.679000
332 116 7 0.671000
333 123 7 0.674000
334 122 7 0.675000
335 122 7 0.636000
336 123 7 0.657000
337 122 6 0.554000
338 122 7 0.652000
339 124 8 0.727000
340 123 6 0.566000
341 123 6 0.566000
342 124 7 0.653000
343 124 7 0.664000
344 124 7 0.650000
345 124 7 0.651000
346 125 7 0.659000
347 124 7 0.700000
348 123 6 0.606000
349 120 6 0.547000
350 118 7 0.676000
351 117 7 0.675000
352 117 7 0.637000
353 117 7 0.663000
354 117 7 0.670000
355 117 6 0.592000
356 119 6 0.581000
357 120 7 0.690000
358 121 7 0.634000
359 121 7 0.640000
360 120 7 0.677000
361 120 7 0.738000
362 121 7 0.729000
363 121 7 0.736000
364 121 7 0.653000
365 120 7 0.648000
366 120 6 0.588000
367 120 7 0.651000
368 120 7 0.668000
369 120 7 0.685000
370 120 7 0.694000
371 120 7 0.680000
372 120 6 0.582000
373 120 6 0.561000
374 121 6 0.582000
375 122 6 0.585000
376 122 7 0.702000
377 122 7 0.655000
378 118 7 0.653000
379 118 7 0.703000
380 118 7 0.660000
381 118 7 0.687000
382 118 6 0.578000
383 118 5 0.496000
384 117 5 0.480000
385 117 6 0.559000
386 117 7 0.615000
387 117 6 0.576000
388 120 7 0.720000
389 120 7 0.660000
390 120 7 0.643000
391 120 7 0.614000
392 120 7 0.643000
393 120 8 0.795000
394 122 7 0.785000
395 122 6 0.627000
396 121 7 0.655000
397 119 7 0.649000
398 118 7 0.693000
399 118 6 0.637000
400 117 6 0.618000
401 118 6 0.640000
402 120 7 0.738000
403 120 7 0.672000
404 121 7 0.700000
405 122 7 0.664000
406 120 7 0.640000
407 122 6 0.592000
408 122 7 0.656000
409 122 7 0.657000
410 123 7 0.683000
411 123 7 0.679000
412 123 6 0.611000
413 123 7 0.672000
414 123 7 0.716000
415 123 7 0.694000
416 123 7 0.691000
417 123 6 0.604000
418 124 6 0.604000
419 124 7 0.710000
420 114 7 0.625000
421 118 7 0.653000
422 118 7 0.666000
423 117 7 0.620000
424 116 7 0.654000
425 116 7 0.641000
