# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
287 243 8 1.487000
288 242 7 1.295000
289 242 7 1.295000
290 241 8 1.462000
291 244 8 1.510000
292 244 9 1.655000
293 244 9 1.647000
294 243 7 1.312000
295 244 8 1.489000
296 245 8 1.479000
297 247 8 1.487000
298 248 7 1.309000
299 248 8 1.480000
300 248 9 1.647000
301 249 8 1.491000
302 248 8 1.498000
303 249 8 1.499000
304 248 8 1.497000
305 247 8 1.491000
306 247 8 1.493000
307 249 8 1.487000
308 250 8 1.464000
309 251 8 1.465000
310 238 8 1.477000
311 240 8 1.474000
312 240 8 1.476000
313 242 8 1.476000
314 241 8 1.473000
315 242 8 1.488000
316 244 7 1.309000
317 244 8 1.481000
318 243 8 1.487000
319 242 7 1.340000
320 242 8 1.511000
321 245 8 1.475000
322 241 8 1.472000
323 241 7 1.306000
324 239 7 1.295000
325 239 7 1.298000
326 239 8 1.460000
327 239 7 1.263000
328 241 7 1.325000
329 242 7 1.314000
330 241 8 1.474000
331 241 8 1.481000
332 240 8 1.468000
333 240 8 1.463000
334 241 7 1.341000
335 240 9 1.632000
336 241 9 1.603000
337 243 8 1.457000
338 244 8 1.467000
339 244 8 1.443000
340 243 8 1.464000
341 241 7 1.287000
342 242 8 1.514000
343 243 8 1.566000
344 240 8 1.544000
345 239 8 1.529000
346 240 8 1.525000
347 239 8 1.544000
348 239 8 1.546000
349 239 8 1.532000
350 241 7 1.371000
351 239 7 1.349000
352 237 7 1.337000
353 232 8 1.570000
354 233 8 1.568000
355 232 8 1.558000
356 233 7 1.375000
357 232 7 1.380000
358 231 8 1.564000
359 231 8 1.529000
360 231 8 1.560000
361 232 8 1.553000
362 235 8 1.547000
363 234 7 1.358000
364 234 7 1.341000
365 233 7 1.343000
366 232 8 1.584000
367 232 8 1.560000
368 235 8 1.539000
369 235 8 1.528000
370 234 8 1.539000
371 234 9 1.727000
372 234 9 1.719000
373 235 8 1.539000
374 235 8 1.559000
375 234 7 1.385000
376 234 8 1.544000
377 235 8 1.531000
378 235 8 1.513000
379 236 8 1.522000
380 232 8 1.566000
381 232 7 1.372000
382 232 7 1.353000
383 233 8 1.514000
384 233 8 1.530000
385 237 9 1.680000
386 238 8 1.508000
387 239 8 1.510000
388 236 8 1.529000
389 237 8 1.504000
390 238 8 1.526000
391 238 8 1.509000
392 239 8 1.534000
393 241 8 1.525000
394 241 8 1.518000
395 241 8 1.526000
396 242 7 1.341000
397 243 7 1.363000
398 241 7 1.341000
399 242 8 1.543000
400 239 8 1.510000
401 241 8 1.492000
402 240 8 1.498000
403 243 8 1.538000
404 241 8 1.535000
405 241 8 1.543000
406 241 8 1.526000
407 241 8 1.527000
408 241 8 1.521000
409 245 8 1.504000
410 243 8 1.516000
411 243 8 1.529000
412 242 8 1.507000
413 235 8 1.443000
414 235 8 1.427000
415 236 8 1.455000
416 236 8 1.423000
417 234 8 1.480000
418 234 8 1.456000
419 235 7 1.310000
420 235 7 1.301000
421 233 8 1.468000
422 236 8 1.463000
423 235 8 1.470000
424 235 8 1.486000
425 234 8 1.467000
426 235 8 1.451000
427 232 8 1.451000
428 231 8 1.476000
429 231 8 1.476000
430 232 8 1.480000
431 232 8 1.474000
432 237 8 1.485000
433 237 7 1.308000
434 236 8 1.466000
435 236 8 1.461000
436 234 8 1.473000
437 236 8 1.475000
438 237 8 1.459000
439 236 9 1.624000
440 234 7 1.310000
441 234 8 1.478000
442 236 8 1.498000
443 237 8 1.491000
444 236 8 1.476000
445 236 9 1.644000
446 236 8 1.477000
447 237 7 1.299000
448 236 9 1.652000
449 238 9 1.631000
450 238 8 1.472000
451 237 8 1.459000
452 237 7 1.292000
453 235 8 1.464000
454 236 9 1.612000
455 237 8 1.445000
456 237 8 1.447000
457 236 8 1.441000
458 236 8 1.454000
459 236 8 1.452000
460 236 8 1.440000
461 236 9 1.614000
462 236 9 1.630000
463 233 8 1.477000
464 234 9 1.661000
465 235 8 1.512000
466 235 8 1.495000
467 236 8 1.489000
468 238 8 1.474000
469 238 9 1.609000
470 238 9 1.605000
471 238 8 1.443000
472 238 7 1.294000
473 241 7 1.303000
474 236 8 1.486000
475 236 7 1.303000
476 235 8 1.513000
477 235 8 1.465000
478 232 8 1.517000
479 234 8 1.492000
480 236 8 1.492000
481 238 8 1.496000
482 237 8 1.517000
483 237 8 1.484000
484 237 8 1.467000
485 238 8 1.471000
486 236 8 1.468000
487 234 8 1.474000
488 234 8 1.485000
489 238 7 1.317000
490 238 6 1.130000
491 241 7 1.322000
492 238 8 1.477000
493 238 7 1.310000
494 237 7 1.332000
495 237 8 1.493000
496 237 8 1.480000
497 238 8 1.466000
498 237 8 1.482000
499 237 8 1.488000
500 238 9 1.640000
501 238 8 1.454000
502 225 8 1.477000
503 225 8 1.489000
504 228 8 1.492000
505 228 7 1.324000
506 228 8 1.511000
507 224 9 1.625000
508 224 8 1.449000
509 223 8 1.443000
510 223 8 1.446000
511 223 8 1.453000
512 223 8 1.441000
513 225 7 1.294000
514 225 7 1.302000
515 225 8 1.473000
516 226 8 1.468000
517 226 8 1.499000
518 227 9 1.648000
519 227 7 1.289000
520 229 8 1.500000
521 228 8 1.492000
522 227 8 1.507000
523 227 8 1.462000
524 227 7 1.302000
525 228 8 1.462000
526 228 8 1.490000
527 229 8 1.495000
528 230 7 1.329000
529 229 8 1.509000
530 230 9 1.695000
531 228 8 1.524000
532 228 8 1.501000
533 227 7 1.280000
534 229 8 1.471000
535 230 8 1.488000
536 230 8 1.506000
537 230 8 1.496000
538 232 8 1.506000
539 232 8 1.502000
