# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 213 85 12.707000
1 215 23 3.554000
2 213 24 3.742000
3 214 24 3.725000
4 214 18 2.839000
5 214 18 2.854000
6 214 18 2.820000
7 214 19 3.011000
8 214 19 3.019000
9 214 18 2.899000
10 215 18 2.870000
11 212 18 2.921000
12 213 13 2.114000
13 214 18 2.818000
14 214 18 2.812000
15 214 18 2.744000
16 214 19 2.930000
17 213 19 2.907000
18 213 18 2.777000
19 214 18 2.772000
20 217 12 1.934000
21 213 19 3.000000
22 211 10 1.630000
23 213 9 1.491000
24 215 12 1.906000
25 215 8 1.317000
26 215 9 1.485000
27 214 8 1.348000
28 214 8 1.367000
29 214 8 1.343000
30 214 8 1.346000
31 216 8 1.315000
32 216 8 1.309000
33 216 8 1.330000
34 215 6 1.013000
35 215 7 1.156000
36 214 8 1.303000
37 213 8 1.298000
38 212 8 1.305000
39 212 8 1.276000
40 210 8 1.296000
41 210 8 1.306000
42 209 7 1.150000
43 210 7 1.149000
44 209 7 1.169000
45 211 8 1.323000
46 212 7 1.183000
47 212 7 1.179000
48 203 8 1.358000
49 203 8 1.332000
50 202 8 1.341000
51 202 8 1.338000
52 203 8 1.338000
53 202 8 1.349000
54 201 7 1.201000
55 201 8 1.358000
56 201 8 1.352000
57 202 8 1.346000
58 207 7 1.175000
59 208 7 1.161000
60 207 8 1.321000
61 207 8 1.323000
62 207 8 1.327000
63 207 8 1.331000
64 207 8 1.340000
65 208 8 1.323000
66 207 8 1.347000
67 204 8 1.351000
68 204 8 1.353000
69 204 8 1.365000
70 206 8 1.355000
71 204 8 1.366000
72 204 8 1.362000
73 204 8 1.362000
74 204 8 1.351000
75 204 7 1.199000
76 204 8 1.365000
77 204 8 1.344000
78 205 8 1.320000
79 204 8 1.328000
80 204 8 1.328000
81 208 9 1.493000
82 207 9 1.485000
83 205 7 1.182000
84 208 8 1.350000
85 208 8 1.331000
86 205 8 1.342000
87 204 8 1.343000
88 205 8 1.329000
89 204 7 1.179000
90 206 7 1.169000
91 206 8 1.332000
92 207 8 1.311000
93 207 8 1.316000
94 201 8 1.337000
95 207 8 1.303000
96 203 7 1.180000
97 201 7 1.180000
98 200 7 1.181000
99 201 7 1.189000
100 200 8 1.396000
101 200 8 1.395000
102 199 8 1.370000
103 198 8 1.381000
104 197 7 1.220000
105 197 7 1.220000
106 196 8 1.389000
107 209 9 1.556000
108 210 8 1.393000
109 210 8 1.408000
110 212 8 1.413000
111 212 7 1.268000
112 214 7 1.248000
113 214 7 1.232000
114 212 8 1.426000
115 212 8 1.408000
116 211 8 1.411000
117 210 8 1.411000
118 211 8 1.407000
119 214 7 1.242000
120 205 8 1.410000
121 205 8 1.400000
122 204 8 1.411000
123 205 9 1.558000
124 205 7 1.243000
125 207 8 1.384000
126 199 8 1.392000
127 197 8 1.378000
128 197 8 1.382000
129 197 8 1.372000
130 197 8 1.364000
131 199 8 1.368000
132 199 8 1.364000
133 197 8 1.386000
134 197 6 1.076000
135 197 6 1.070000
136 197 7 1.232000
137 197 7 1.245000
138 197 8 1.386000
139 195 8 1.398000
140 195 8 1.397000
141 195 8 1.390000
142 195 7 1.230000
143 195 8 1.399000
144 196 9 1.573000
145 197 8 1.406000
146 197 7 1.263000
147 193 8 1.436000
148 193 8 1.429000
149 193 8 1.433000
150 192 8 1.444000
151 191 8 1.402000
152 191 8 1.414000
153 191 7 1.245000
154 192 7 1.244000
155 192 7 1.236000
156 193 7 1.254000
157 195 8 1.424000
158 200 7 1.248000
159 200 7 1.273000
160 201 8 1.412000
161 202 8 1.411000
162 202 8 1.421000
163 205 8 1.372000
164 205 9 1.530000
165 202 8 1.389000
166 202 8 1.392000
167 203 8 1.396000
168 205 8 1.382000
169 204 8 1.384000
170 205 8 1.389000
171 206 8 1.373000
172 207 8 1.369000
173 210 8 1.378000
174 211 8 1.363000
175 211 7 1.227000
176 209 8 1.378000
177 210 7 1.218000
178 208 8 1.359000
179 208 8 1.362000
180 205 8 1.350000
181 205 8 1.353000
182 204 8 1.354000
183 203 8 1.358000
184 204 8 1.349000
185 203 8 1.356000
186 205 8 1.361000
187 204 7 1.203000
188 200 8 1.367000
189 200 8 1.371000
190 200 8 1.356000
191 199 8 1.352000
192 199 8 1.353000
193 199 8 1.355000
194 199 8 1.334000
195 200 7 1.196000
196 197 8 1.337000
197 203 8 1.374000
198 204 7 1.210000
199 202 8 1.394000
200 202 8 1.379000
201 202 7 1.231000
202 201 7 1.209000
203 200 8 1.365000
204 199 8 1.372000
205 201 8 1.371000
206 202 8 1.371000
207 202 8 1.368000
208 202 8 1.366000
209 201 8 1.344000
210 202 8 1.363000
211 202 8 1.335000
212 205 8 1.345000
213 205 8 1.382000
214 204 8 1.363000
215 203 8 1.365000
216 202 8 1.365000
217 202 7 1.220000
218 202 8 1.376000
219 208 8 1.347000
220 207 8 1.361000
221 206 8 1.348000
222 205 8 1.362000
223 205 8 1.366000
224 204 7 1.215000
225 205 8 1.357000
226 208 8 1.345000
227 209 8 1.357000
228 207 7 1.205000
229 207 7 1.194000
230 202 8 1.385000
231 198 7 1.260000
232 199 8 1.416000
233 199 7 1.252000
234 199 9 1.571000
235 199 9 1.574000
236 200 8 1.411000
237 200 7 1.261000
238 200 7 1.243000
239 200 8 1.402000
240 196 8 1.427000
241 197 8 1.394000
242 196 6 1.080000
243 196 7 1.219000
244 197 8 1.386000
245 193 8 1.395000
246 197 8 1.397000
247 197 8 1.403000
248 197 8 1.433000
249 196 8 1.423000
250 196 8 1.424000
251 196 7 1.264000
252 197 7 1.245000
253 197 8 1.453000
254 196 8 1.412000
255 197 7 1.238000
256 197 6 1.082000
257 197 8 1.402000
258 198 8 1.389000
259 199 8 1.417000
260 199 9 1.562000
261 198 9 1.560000
262 200 8 1.401000
263 200 7 1.227000
264 200 7 1.221000
265 200 7 1.233000
266 200 8 1.388000
267 200 7 1.236000
268 200 8 1.438000
269 192 8 1.406000
270 199 8 1.406000
271 199 8 1.407000
272 199 8 1.400000
273 199 8 1.388000
274 199 7 1.245000
275 203 8 1.383000
276 207 7 1.190000
277 207 8 1.333000
278 206 8 1.334000
279 206 7 1.185000
280 207 7 1.185000
281 205 7 1.182000
282 211 7 1.196000
283 211 8 1.354000
284 211 8 1.346000
285 212 7 1.197000
286 212 7 1.203000
287 214 8 1.372000
288 210 8 1.350000
289 210 8 1.345000
290 209 8 1.336000
291 209 8 1.334000
292 213 7 1.194000
293 213 8 1.354000
294 212 8 1.378000
295 210 8 1.366000
296 209 8 1.354000
297 210 7 1.219000
298 211 8 1.366000
299 210 8 1.360000
300 210 8 1.345000
301 210 8 1.359000
302 210 8 1.342000
303 210 9 1.514000
304 210 8 1.352000
305 210 8 1.349000
306 210 8 1.351000
307 208 8 1.338000
308 196 8 1.438000
309 197 8 1.424000
310 196 7 1.242000
311 196 8 1.435000
312 198 8 1.445000
313 198 8 1.431000
314 198 8 1.423000
315 199 8 1.415000
316 200 7 1.276000
317 200 8 1.429000
318 200 8 1.420000
319 199 8 1.425000
320 199 8 1.424000
321 198 7 1.288000
322 199 8 1.395000
323 199 8 1.400000
324 198 8 1.405000
325 198 8 1.424000
326 198 8 1.396000
327 198 8 1.415000
328 198 7 1.254000
329 199 8 1.416000
330 198 7 1.246000
331 198 8 1.410000
332 198 7 1.286000
333 200 7 1.249000
334 200 8 1.423000
335 200 8 1.418000
336 201 8 1.441000
337 201 7 1.294000
338 197 7 1.279000
339 198 8 1.445000
340 199 8 1.416000
341 198 7 1.261000
342 198 7 1.255000
343 200 8 1.397000
344 201 8 1.434000
345 201 8 1.430000
346 200 8 1.424000
347 201 8 1.434000
348 203 8 1.427000
349 203 7 1.257000
350 202 7 1.280000
351 201 8 1.471000
352 201 8 1.432000
353 202 8 1.439000
354 199 8 1.452000
355 200 8 1.458000
356 200 8 1.441000
357 200 8 1.426000
358 200 8 1.432000
359 199 8 1.429000
360 199 8 1.428000
361 200 7 1.246000
362 201 7 1.241000
363 200 8 1.430000
364 201 8 1.426000
365 202 8 1.401000
366 204 8 1.418000
367 204 8 1.411000
368 204 8 1.406000
369 204 8 1.413000
370 202 7 1.240000
371 202 6 1.084000
372 202 7 1.241000
373 202 7 1.239000
374 202 8 1.409000
375 202 8 1.420000
376 203 8 1.429000
377 202 8 1.427000
378 204 8 1.399000
379 205 8 1.378000
380 205 8 1.381000
381 206 8 1.377000
382 205 7 1.237000
383 205 7 1.226000
384 205 8 1.394000
385 207 7 1.226000
386 209 8 1.389000
387 208 8 1.371000
388 207 8 1.380000
389 206 8 1.374000
390 207 7 1.216000
391 208 7 1.223000
392 208 8 1.389000
393 214 8 1.429000
394 214 7 1.273000
395 212 8 1.411000
396 214 8 1.438000
397 214 8 1.413000
398 214 8 1.405000
399 214 8 1.413000
400 213 8 1.417000
401 202 8 1.444000
402 202 8 1.430000
403 205 8 1.397000
404 205 8 1.375000
405 208 7 1.230000
406 208 8 1.371000
407 202 8 1.421000
408 208 7 1.195000
409 209 8 1.367000
410 209 6 1.050000
411 207 7 1.207000
412 207 8 1.367000
413 207 8 1.372000
414 207 8 1.353000
415 207 8 1.367000
416 206 8 1.375000
417 206 7 1.214000
418 206 8 1.379000
419 206 8 1.387000
420 207 8 1.368000
421 209 8 1.389000
422 209 9 1.537000
423 209 8 1.376000
424 208 8 1.362000
425 208 8 1.371000
426 208 8 1.380000
427 208 8 1.392000
428 207 8 1.386000
429 207 8 1.388000
430 207 8 1.390000
431 210 7 1.252000
432 207 7 1.231000
433 206 7 1.235000
434 206 8 1.408000
435 206 8 1.407000
436 207 8 1.417000
437 206 8 1.418000
438 206 8 1.417000
439 205 8 1.432000
440 205 8 1.431000
441 206 7 1.253000
442 205 7 1.260000
443 204 7 1.275000
444 203 8 1.443000
445 202 8 1.426000
446 203 9 1.576000
447 204 8 1.413000
448 203 8 1.412000
449 202 8 1.437000
450 203 7 1.241000
451 203 8 1.404000
452 203 8 1.412000
453 203 7 1.251000
454 203 8 1.421000
455 203 7 1.238000
456 205 8 1.398000
457 206 8 1.392000
458 208 7 1.230000
459 209 7 1.219000
460 209 8 1.388000
461 210 7 1.257000
462 210 8 1.403000
463 211 7 1.250000
464 211 8 1.395000
465 212 8 1.394000
466 210 8 1.396000
467 211 8 1.396000
468 210 9 1.547000
469 210 9 1.570000
470 210 8 1.377000
471 210 8 1.390000
472 212 7 1.228000
473 212 7 1.220000
474 212 8 1.387000
475 212 9 1.549000
476 212 8 1.402000
