#CLOSEST_00001[Frame] CLOSEST_00001[Mol] CLOSEST_00001[Dist] CLOSEST_00001[FirstAtm]
                    1                 79              1.7840                     292
                    1                  5              2.3669                      70
                    1                 72              2.4103                     271
                    1                196              2.4705                     643
                    1                214              2.4932                     697
                    1                150              2.5738                     505
                    1                136              2.5858                     463
                    1                113              2.6669                     394
                    1                173              2.7105                     574
                    1                199              2.7154                     652
                    1                 80              2.7175                     295
                    1                 26              2.7248                     133
                    1                131              2.7705                     448
                    1                 98              2.8086                     349
                    1                217              2.8298                     706
                    1                219              2.8616                     712
                    1                227              2.9047                     736
                    1                195              2.9050                     640
                    1                127              2.9216                     436
                    1                 46              2.9234                     193
                    1                143              2.9389                     484
                    1                115              2.9413                     400
                    1                147              2.9453                     496
                    1                 88              2.9637                     319
                    1                224              2.9974                     727
                    1                229              3.0260                     742
                    1                 61              3.0744                     238
                    1                160              3.0754                     535
                    1                194              3.0766                     637
                    1                 66              3.0773                     253
                    1                138              3.1442                     469
                    1                156              3.1609                     523
                    1                151              3.1629                     508
                    1                121              3.1689                     418
                    1                 69              3.1769                     262
                    1                169              3.2141                     562
                    1                166              3.2418                     553
                    1                 10              3.2797                      85
                    1                107              3.2924                     376
                    1                158              3.2974                     529
                    1                 65              3.3121                     250
                    1                182              3.3407                     601
                    1                110              3.3409                     385
                    1                108              3.3786                     379
                    1                 93              3.3957                     334
                    1                176              3.3978                     583
                    1                101              3.4338                     358
                    1                231              3.4354                     748
                    1                168              3.4365                     559
                    1                 42              3.4381                     181
                    1                 58              3.4429                     229
                    1                 70              3.4711                     265
                    1                164              3.5333                     547
                    1                122              3.6023                     421
                    1                 62              3.6345                     241
                    1                118              3.6501                     409
                    1                148              3.6784                     499
                    1                157              3.7140                     526
                    1                 24              3.7623                     127
                    1                 81              3.7863                     298
                    1                225              3.8066                     730
                    1                  4              3.8087                      67
                    1                218              3.8555                     709
                    1                170              3.8574                     565
                    1                188              3.8781                     619
                    1                 68              3.9057                     259
                    1                140              3.9506                     475
                    1                171              3.9524                     568
                    1                 39              4.0227                     172
                    1                203              4.1223                     664
                    1                186              4.1896                     613
                    1                135              4.2142                     460
                    1                213              4.2733                     694
                    1                 73              4.2772                     274
                    1                 74              4.3058                     277
                    1                226              4.3439                     733
                    1                154              4.5433                     517
                    1                103              4.6033                     364
                    1                 14              4.6229                      97
                    1                133              4.6579                     454
                    1                185              4.6772                     610
                    1                209              4.6776                     682
                    1                193              4.6795                     634
                    1                 19              4.6899                     112
                    1                200              4.7001                     655
                    1                215              4.7156                     700
                    1                222              4.7186                     721
                    1                 97              4.7838                     346
                    1                165              4.7981                     550
                    1                123              4.8054                     424
                    1                 50              4.8249                     205
                    1                155              4.8594                     520
                    1                 96              5.0059                     343
                    1                223              5.0639                     724
                    1                 38              5.0673                     169
                    1                 83              5.0713                     304
                    1                 16              5.1161                     103
                    1                187              5.1789                     616
                    1                 53              5.1871                     214
                    1                  2              5.2256                      61
                    1                210              5.2401                     685
                    1                  7              5.2484                      76
                    1                 41              5.2601                     178
                    1                 91              5.2674                     328
                    1                 84              5.3599                     307
                    1                 95              5.4056                     340
                    1                145              5.4483                     490
                    1                163              5.4518                     544
                    1                120              5.4661                     415
                    1                152              5.4993                     511
                    1                 86              5.5133                     313
                    1                159              5.5387                     532
                    1                 17              5.5829                     106
                    1                 71              5.5892                     268
                    1                177              5.5909                     586
                    1                 77              5.6341                     286
                    1                 55              5.6567                     220
                    1                126              5.6713                     433
                    1                109              5.7164                     382
                    1                204              5.7260                     667
                    1                124              5.7306                     427
                    1                 34              5.7394                     157
                    1                190              5.7847                     625
                    1                 52              5.8477                     211
                    1                 57              5.8542                     226
                    1                 28              5.8633                     139
                    1                 87              5.8679                     316
                    1                 48              5.8756                     199
                    1                104              5.9076                     367
                    1                 82              5.9607                     301
                    1                 76              5.9650                     283
                    1                167              6.0004                     556
                    1                 29              6.0150                     142
                    1                208              6.0252                     679
                    1                207              6.0270                     676
                    1                205              6.0963                     670
                    1                141              6.2019                     478
                    1                192              6.2561                     631
                    1                221              6.2777                     718
                    1                 67              6.2806                     256
                    1                181              6.2851                     598
                    1                179              6.3667                     592
                    1                 75              6.4180                     280
                    1                149              6.4837                     502
                    1                 49              6.5027                     202
                    1                161              6.5131                     538
                    1                 31              6.5885                     148
                    1                 37              6.6124                     166
                    1                180              6.6200                     595
                    1                144              6.6804                     487
                    1                201              6.7135                     658
                    1                153              6.7203                     514
                    1                162              6.7257                     541
                    1                105              6.7472                     370
                    1                202              6.7648                     661
                    1                 12              6.8027                      91
                    1                232              6.8558                     751
                    1                 23              6.8960                     124
                    1                189              6.9973                     622
                    1                117              7.0047                     406
                    1                 40              7.0954                     175
                    1                139              7.0978                     472
                    1                 13              7.1363                      94
                    1                 64              7.1377                     247
                    1                129              7.1550                     442
                    1                100              7.1813                     355
                    1                125              7.2632                     430
                    1                 51              7.3274                     208
                    1                  6              7.3382                      73
                    1                 60              7.3528                     235
                    1                 35              7.3824                     160
                    1                  8              7.4142                      79
                    1                178              7.4320                     589
                    1                102              7.4809                     361
                    1                 94              7.4977                     337
                    1                  9              7.5003                      82
                    1                 89              7.5900                     322
                    1                114              7.6766                     397
                    1                119              7.6875                     412
                    1                 32              7.6971                     151
                    1                116              7.7313                     403
                    1                142              7.7361                     481
                    1                128              7.7677                     439
                    1                220              7.7719                     715
                    1                198              7.7737                     649
                    1                 27              7.8623                     136
                    1                236              7.9361                     763
                    1                 78              7.9393                     289
                    1                197              7.9471                     646
                    1                 30              7.9993                     145
                    1                 63              8.0046                     244
                    1                 47              8.0358                     196
                    1                 92              8.0361                     331
                    1                  3              8.0473                      64
                    1                 15              8.0592                     100
                    1                234              8.1288                     757
                    1                 44              8.1632                     187
                    1                212              8.1788                     691
                    1                130              8.1856                     445
                    1                134              8.2311                     457
                    1                183              8.2580                     604
                    1                 18              8.2603                     109
                    1                 90              8.2857                     325
                    1                 20              8.2993                     115
                    1                228              8.3393                     739
                    1                 21              8.3596                     118
                    1                 99              8.3717                     352
                    1                206              8.4289                     673
                    1                 22              8.4457                     121
                    1                 33              8.4914                     154
                    1                111              8.5125                     388
                    1                216              8.6099                     703
                    1                235              8.6358                     760
                    1                174              8.6665                     577
                    1                 56              8.7328                     223
                    1                172              8.8168                     571
                    1                191              8.9097                     628
                    1                175              8.9651                     580
                    1                 45              8.9783                     190
                    1                230              9.0782                     745
                    1                184              9.1004                     607
                    1                112              9.1727                     391
                    1                211              9.2540                     688
                    1                132              9.2971                     451
                    1                 59              9.3993                     232
                    1                 25              9.4387                     130
                    1                 43              9.4719                     184
                    1                 54              9.5173                     217
                    1                137              9.6902                     466
                    1                 36              9.6973                     163
                    1                233              9.6997                     754
                    1                 85              9.7105                     310
                    1                146              9.7985                     493
                    1                 11              9.7998                      88
                    1                106             10.2977                     373
