# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 376 91 26.143000
1 378 29 8.471000
2 379 27 8.039000
3 381 29 8.500000
4 377 29 8.524000
5 378 27 8.025000
6 378 23 6.867000
7 378 25 7.444000
8 377 26 7.691000
9 376 32 9.491000
10 376 23 6.866000
11 371 26 7.836000
12 369 27 8.108000
13 369 26 7.755000
14 371 25 7.425000
15 380 27 7.991000
16 379 29 8.506000
17 378 25 7.493000
18 378 25 7.482000
19 378 23 6.834000
20 372 25 7.527000
21 370 25 7.501000
22 369 24 7.188000
23 368 23 6.853000
24 368 24 7.158000
25 370 25 7.477000
26 371 25 7.482000
27 373 24 7.297000
28 372 25 7.515000
29 371 26 7.775000
30 370 26 7.673000
31 374 25 7.532000
32 374 26 7.858000
33 373 23 6.964000
34 374 22 6.669000
35 377 26 7.817000
36 375 25 7.499000
37 374 21 6.424000
38 374 21 6.361000
39 374 22 6.695000
40 371 24 7.221000
41 371 28 8.290000
42 374 25 7.412000
43 375 24 7.019000
44 375 23 6.741000
45 374 22 6.457000
46 375 21 6.199000
47 377 21 6.184000
48 379 19 5.598000
49 379 22 6.382000
50 379 22 6.395000
51 361 24 7.115000
52 361 27 7.928000
53 361 19 5.689000
54 360 21 6.341000
55 360 19 5.743000
56 357 23 6.827000
57 362 23 6.803000
58 360 25 7.373000
59 359 22 6.536000
60 359 21 6.234000
61 364 19 5.693000
62 364 19 5.722000
63 363 20 6.002000
64 366 23 6.959000
65 366 26 7.876000
66 366 18 5.565000
67 366 22 6.673000
68 367 22 6.629000
69 368 22 6.655000
70 368 22 6.622000
71 367 17 5.251000
72 365 17 5.221000
73 364 17 5.258000
74 364 17 5.256000
75 362 22 6.702000
76 362 24 7.249000
77 360 23 7.003000
78 358 22 6.689000
79 358 20 6.172000
80 358 22 6.715000
81 356 23 6.998000
82 356 20 6.129000
83 357 21 6.384000
84 354 23 7.004000
85 355 23 6.943000
86 355 20 6.066000
87 355 22 6.616000
88 354 22 6.647000
89 355 20 6.018000
90 353 20 6.088000
91 353 18 5.496000
92 352 18 5.459000
93 354 21 6.275000
94 353 19 5.676000
95 353 18 5.402000
96 352 14 4.299000
97 351 14 4.330000
98 353 20 6.039000
99 353 20 6.063000
100 353 18 5.449000
101 353 17 5.172000
102 353 10 3.151000
103 350 15 4.625000
104 349 20 6.069000
105 349 16 4.940000
106 350 18 5.523000
107 350 16 4.954000
108 348 17 5.241000
109 348 18 5.508000
110 350 20 6.007000
111 350 18 5.418000
112 350 18 5.418000
113 349 18 5.446000
114 350 21 6.301000
115 353 18 5.461000
116 351 19 5.726000
117 352 20 5.986000
118 351 20 6.036000
119 351 20 6.002000
120 351 21 6.326000
121 351 18 5.452000
122 350 20 6.001000
123 351 17 5.142000
124 351 21 6.275000
125 351 22 6.619000
126 352 21 6.331000
127 352 19 5.736000
128 372 17 5.167000
129 371 18 5.427000
130 371 17 5.178000
131 372 17 5.164000
132 373 17 5.170000
133 371 19 5.718000
134 371 12 3.701000
135 372 19 5.682000
136 370 20 5.994000
137 371 21 6.259000
138 370 20 6.030000
139 370 20 5.965000
140 366 10 3.115000
141 366 20 5.905000
142 366 21 6.168000
143 366 15 4.511000
144 365 19 5.688000
145 367 20 5.971000
146 367 19 5.670000
147 367 21 6.217000
148 354 22 6.649000
149 354 20 6.073000
150 353 19 5.834000
151 352 20 6.026000
152 353 21 6.387000
153 353 20 5.976000
154 353 21 6.279000
155 353 21 6.289000
156 353 18 5.443000
157 353 20 5.999000
158 352 19 5.717000
159 352 20 6.005000
160 353 20 5.970000
161 353 22 6.544000
162 353 20 6.038000
163 373 16 4.849000
164 373 20 5.960000
165 372 19 5.721000
166 372 17 5.159000
167 372 14 4.249000
168 372 19 5.672000
169 371 19 5.677000
170 373 19 5.677000
171 372 19 5.676000
172 373 18 5.381000
173 372 21 6.237000
174 374 20 5.967000
175 374 22 6.504000
176 374 19 5.664000
177 373 19 5.630000
178 374 19 5.697000
179 374 20 5.959000
180 375 18 5.418000
181 375 17 5.169000
182 375 17 5.174000
183 357 19 5.726000
184 358 20 5.955000
185 366 20 5.974000
186 363 17 5.132000
187 362 15 4.561000
188 362 14 4.274000
189 362 13 4.015000
190 363 15 4.594000
191 364 11 3.423000
192 364 18 5.436000
193 362 19 5.707000
194 361 18 5.440000
195 358 19 5.751000
196 358 13 4.038000
197 358 18 5.461000
198 358 19 5.709000
199 358 18 5.415000
200 360 17 5.168000
201 363 15 4.609000
202 365 21 6.308000
203 361 21 6.282000
204 362 23 6.828000
205 366 18 5.382000
206 367 21 6.222000
207 368 14 4.256000
208 368 16 4.840000
209 367 17 5.136000
210 362 21 6.279000
211 363 20 6.022000
212 364 20 5.986000
213 362 20 6.003000
214 361 19 5.762000
215 361 17 5.235000
216 359 18 5.445000
217 360 19 5.703000
218 359 21 6.269000
219 359 20 6.041000
220 360 23 6.876000
221 358 23 6.931000
222 358 22 6.599000
223 358 21 6.325000
224 360 20 6.044000
225 359 21 6.370000
226 362 20 6.020000
227 361 21 6.320000
228 361 22 6.619000
229 362 20 6.015000
230 362 16 4.877000
231 363 19 5.742000
232 363 21 6.339000
233 363 18 5.520000
234 362 21 6.322000
235 362 22 6.608000
236 363 22 6.596000
237 363 21 6.297000
238 365 23 6.840000
239 365 21 6.257000
240 363 21 6.254000
241 363 19 5.893000
242 363 21 6.430000
243 363 22 6.763000
244 363 21 6.472000
245 363 20 6.185000
246 366 20 6.136000
247 366 19 5.839000
248 366 19 5.813000
249 366 23 6.979000
250 366 20 6.128000
251 364 16 4.966000
252 363 20 6.105000
253 363 21 6.409000
254 362 21 6.397000
255 361 20 6.140000
256 363 10 3.180000
257 372 19 5.789000
258 381 19 5.891000
259 382 18 5.597000
260 381 16 4.903000
261 382 17 5.155000
262 383 19 5.755000
263 383 20 6.033000
264 383 18 5.504000
265 384 17 5.247000
266 381 19 5.855000
267 382 22 6.652000
268 371 16 4.957000
269 372 17 5.237000
270 371 16 4.904000
271 370 14 4.356000
272 370 16 4.928000
273 369 13 4.055000
274 370 15 4.596000
275 369 11 3.468000
276 370 16 4.886000
277 370 15 4.590000
278 369 14 4.330000
279 369 13 4.041000
280 370 12 3.773000
281 370 10 3.177000
282 371 11 3.472000
283 372 12 3.826000
284 372 13 4.068000
285 370 15 4.703000
286 370 14 4.398000
287 370 12 3.793000
288 369 12 3.796000
289 368 12 3.779000
290 368 15 4.656000
291 367 14 4.404000
292 367 10 3.200000
293 366 13 4.089000
294 366 15 4.688000
295 365 21 6.444000
296 367 18 5.528000
297 370 21 6.436000
298 372 22 6.689000
299 372 12 3.792000
300 375 19 5.782000
301 363 24 7.164000
302 360 25 7.550000
303 360 20 6.018000
304 361 22 6.581000
305 362 20 6.003000
306 362 21 6.276000
307 360 21 6.388000
308 360 23 6.985000
309 360 22 6.686000
310 359 16 4.922000
311 359 19 5.844000
312 358 20 6.080000
313 357 19 5.851000
314 356 19 5.811000
315 357 21 6.329000
316 356 21 6.387000
317 357 22 6.666000
318 363 20 6.152000
319 362 22 6.701000
320 361 21 6.406000
321 359 12 3.752000
322 367 21 6.363000
323 365 23 6.964000
324 365 16 4.904000
325 365 20 6.137000
326 368 23 6.994000
327 369 25 7.592000
328 370 22 6.726000
329 370 21 6.447000
330 369 21 6.473000
331 364 24 7.373000
332 366 24 7.283000
333 365 21 6.389000
334 366 21 6.384000
335 364 21 6.473000
336 366 21 6.404000
337 364 22 6.621000
338 366 22 6.561000
339 365 24 7.256000
340 366 22 6.678000
341 367 21 6.383000
342 369 22 6.610000
343 369 23 6.930000
344 367 20 6.097000
