#CLOSEST_00001[Frame] CLOSEST_00001[Mol] CLOSEST_00001[Dist] CLOSEST_00001[FirstAtm]
                    1                 67              1.5415                     208
                    1                103              1.7039                     316
                    1                 40              1.7743                     127
                    1                 81              2.4292                     250
                    1                 99              2.5180                     304
                    1                 10              2.5825                      37
                    1                100              2.5927                     307
                    1                112              2.8518                     343
                    1                 64              2.8607                     199
                    1                  8              3.1541                      31
                    1                 25              3.2236                      82
                    1                 69              3.3226                     214
                    1                 88              3.3672                     271
                    1                 93              3.4225                     286
                    1                 79              3.4309                     244
                    1                 92              3.5125                     283
                    1                 39              3.5438                     124
                    1                 48              3.6158                     151
                    1                 68              3.6642                     211
                    1                 36              3.7382                     115
                    1                116              3.8658                     355
                    1                 77              4.0200                     238
                    1                 70              4.1623                     217
                    1                 26              4.3201                      85
                    1                 54              4.4524                     169
                    1                 82              4.5405                     253
                    1                 13              4.5599                      46
                    1                105              4.5737                     322
                    1                 90              4.5741                     277
                    1                 59              4.6710                     184
                    1                  2              4.7636                      13
                    1                 58              4.8350                     181
                    1                 71              4.8747                     220
                    1                 89              4.8817                     274
                    1                 12              4.9193                      43
                    1                 17              4.9454                      58
                    1                 84              5.0683                     259
                    1                 33              5.1137                     106
                    1                  5              5.1501                      22
                    1                 41              5.1524                     130
                    1                102              5.2013                     313
                    1                 34              5.2260                     109
                    1                 35              5.3627                     112
                    1                 73              5.3913                     226
                    1                 19              5.4084                      64
                    1                 65              5.4372                     202
                    1                 91              5.5567                     280
                    1                 45              5.6245                     142
                    1                 42              5.6896                     133
                    1                 43              5.7094                     136
                    1                 18              5.7798                      61
                    1                  9              5.8067                      34
                    1                 32              5.8663                     103
                    1                 80              5.8808                     247
                    1                 15              5.9074                      52
                    1                 53              5.9424                     166
                    1                 51              5.9994                     160
                    1                 78              6.0580                     241
                    1                 98              6.0997                     301
                    1                 24              6.1375                      79
                    1                 61              6.1629                     190
                    1                111              6.2049                     340
                    1                 37              6.3278                     118
                    1                106              6.3827                     325
                    1                 83              6.4479                     256
                    1                 94              6.5098                     289
                    1                 29              6.5174                      94
                    1                 14              6.5838                      49
                    1                 11              6.6091                      40
                    1                 50              6.6476                     157
                    1                115              6.6609                     352
                    1                 97              6.7402                     298
                    1                 76              6.7656                     235
                    1                108              6.7765                     331
                    1                 28              6.8076                      91
                    1                 72              6.8397                     223
                    1                110              6.8683                     337
                    1                  4              6.9513                      19
                    1                 21              6.9965                      70
                    1                101              7.0066                     310
                    1                 87              7.0401                     268
                    1                 20              7.0606                      67
                    1                 74              7.1040                     229
                    1                 52              7.1896                     163
                    1                 44              7.2102                     139
                    1                 96              7.2529                     295
                    1                114              7.3226                     349
                    1                  7              7.3641                      28
                    1                  6              7.4407                      25
                    1                 63              7.4488                     196
                    1                 27              7.4850                      88
                    1                 95              7.5380                     292
                    1                 57              7.6162                     178
                    1                 55              7.7994                     172
                    1                 47              7.8366                     148
                    1                 86              7.8731                     265
                    1                 38              7.9346                     121
                    1                 46              8.0690                     145
                    1                107              8.0945                     328
                    1                 75              8.1227                     232
                    1                 85              8.1895                     262
                    1                 62              8.2297                     193
                    1                 56              8.3360                     175
                    1                  3              8.4898                      16
                    1                 60              8.5972                     187
                    1                 30              8.6163                      97
                    1                109              8.7614                     334
                    1                113              8.8249                     346
                    1                 49              8.8514                     154
                    1                 66              9.2014                     205
                    1                 22              9.3951                      73
                    1                 23              9.4461                      76
                    1                 16              9.6656                      55
                    1                 31              9.7675                     100
                    1                104             10.5136                     319
