# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
287 385 23 8.380000
288 385 23 8.215000
289 384 23 8.222000
290 385 20 7.178000
291 383 20 7.122000
292 386 20 7.096000
293 384 20 7.113000
294 387 21 7.438000
295 389 20 7.114000
296 385 19 6.769000
297 386 19 6.855000
298 384 22 7.804000
299 385 21 7.503000
300 384 22 7.817000
301 382 21 7.470000
302 383 21 7.417000
303 385 21 7.377000
304 385 20 7.060000
305 386 19 6.856000
306 386 21 7.414000
307 387 18 6.536000
308 391 23 8.357000
309 391 21 7.723000
310 389 23 8.496000
311 394 23 8.456000
312 394 24 8.851000
313 391 22 8.048000
314 389 23 8.375000
315 390 12 4.410000
316 390 19 6.969000
317 389 22 8.262000
318 391 22 8.335000
319 391 22 8.376000
320 392 22 8.431000
321 394 21 8.027000
322 395 22 8.150000
323 389 22 8.128000
324 390 22 8.371000
325 394 23 8.774000
326 392 23 8.801000
327 393 24 9.092000
328 393 21 7.809000
329 392 21 7.781000
330 395 19 7.216000
331 394 20 7.714000
332 394 21 8.046000
333 394 20 7.622000
334 392 21 7.951000
335 392 21 7.770000
336 392 20 7.671000
337 392 20 7.727000
338 393 22 8.456000
339 393 21 7.955000
340 392 23 8.599000
341 393 21 7.713000
342 382 21 8.051000
343 374 21 8.157000
344 374 21 8.168000
345 377 17 6.611000
346 376 19 7.250000
347 377 21 7.909000
348 377 19 7.240000
349 375 20 7.830000
350 374 20 7.829000
351 373 19 7.368000
352 379 21 8.019000
353 378 22 8.342000
354 376 21 7.723000
355 377 20 7.291000
356 376 18 6.488000
357 377 20 7.076000
358 377 20 7.141000
359 378 19 6.788000
360 380 19 6.769000
361 375 21 7.576000
362 375 24 8.488000
363 382 19 6.810000
364 380 21 7.529000
365 380 21 7.551000
366 379 20 7.113000
367 378 19 6.795000
368 379 20 7.114000
369 379 20 7.144000
370 379 19 6.828000
371 380 20 7.177000
372 381 21 7.541000
373 382 21 7.512000
374 382 22 7.848000
375 382 22 7.854000
376 382 22 7.845000
377 382 20 7.188000
378 379 20 7.206000
379 380 20 7.368000
380 379 21 7.731000
381 378 21 7.794000
382 378 18 6.826000
383 381 19 7.043000
384 382 13 5.007000
385 382 22 8.160000
386 382 17 6.248000
387 382 15 5.759000
388 382 16 5.831000
389 381 16 5.839000
390 382 20 7.433000
391 379 12 4.635000
392 381 19 7.265000
393 380 16 6.282000
394 379 19 7.270000
395 379 18 6.939000
396 380 18 6.916000
397 381 15 5.646000
398 378 16 6.051000
399 378 11 4.212000
400 376 15 5.757000
401 375 14 5.526000
402 374 14 5.396000
403 374 18 6.901000
404 373 17 6.613000
405 373 16 6.119000
406 374 16 6.059000
407 374 18 6.761000
408 375 20 7.623000
409 375 19 7.291000
410 375 19 7.275000
411 374 18 6.842000
412 375 19 7.206000
413 385 20 7.323000
414 376 25 9.034000
