#CLOSEST_00001[Frame] CLOSEST_00001[Mol] CLOSEST_00001[Dist] CLOSEST_00001[FirstAtm]
                    1                392              1.7077                    1249
                    1                147              1.7960                     514
                    1                 47              1.9565                     214
                    1                  7              2.3248                      94
                    1                 72              2.3264                     289
                    1                380              2.3882                    1213
                    1                  8              2.4099                      97
                    1                222              2.4402                     739
                    1                 25              2.5539                     148
                    1                221              2.6711                     736
                    1                398              2.6715                    1267
                    1                167              2.6767                     574
                    1                338              2.6837                    1087
                    1                129              2.6859                     460
                    1                408              2.6961                    1297
                    1                187              2.7193                     634
                    1                 74              2.7250                     295
                    1                305              2.7444                     988
                    1                 69              2.8489                     280
                    1                194              2.8543                     655
                    1                 63              2.8602                     262
                    1                 44              2.8639                     205
                    1                228              2.8647                     757
                    1                257              2.8679                     844
                    1                 10              2.9103                     103
                    1                352              2.9130                    1129
                    1                345              2.9320                    1108
                    1                301              2.9334                     976
                    1                411              2.9417                    1306
                    1                136              2.9694                     481
                    1                361              2.9893                    1156
                    1                188              3.0101                     637
                    1                 31              3.0609                     166
                    1                277              3.0989                     904
                    1                202              3.1030                     679
                    1                354              3.1082                    1135
                    1                 42              3.1177                     199
                    1                111              3.1201                     406
                    1                 67              3.1261                     274
                    1                  6              3.1829                      91
                    1                198              3.2100                     667
                    1                382              3.2433                    1219
                    1                350              3.2513                    1123
                    1                212              3.2730                     709
                    1                 35              3.3135                     178
                    1                381              3.3222                    1216
                    1                362              3.3282                    1159
                    1                374              3.3349                    1195
                    1                 57              3.3427                     244
                    1                330              3.3946                    1063
                    1                199              3.4044                     670
                    1                150              3.4582                     523
                    1                117              3.4683                     424
                    1                114              3.4754                     415
                    1                 12              3.4906                     109
                    1                 20              3.5206                     133
                    1                231              3.5282                     766
                    1                 97              3.5591                     364
                    1                134              3.5872                     475
                    1                244              3.6568                     805
                    1                327              3.6623                    1054
                    1                349              3.6898                    1120
                    1                180              3.7196                     613
                    1                156              3.8251                     541
                    1                  5              3.8369                      88
                    1                209              3.8382                     700
                    1                120              3.8828                     433
                    1                 96              3.9476                     361
                    1                271              3.9655                     886
                    1                204              4.0009                     685
                    1                106              4.0069                     391
                    1                 58              4.0501                     247
                    1                252              4.0613                     829
                    1                412              4.1243                    1309
                    1                356              4.1385                    1141
                    1                289              4.1715                     940
                    1                258              4.1726                     847
                    1                 86              4.1727                     331
                    1                127              4.2364                     454
                    1                  3              4.2413                      82
                    1                240              4.2539                     793
                    1                342              4.2780                    1099
                    1                246              4.2867                     811
