# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 343 54 15.566000
1 344 26 7.750000
2 344 24 7.111000
3 344 26 7.699000
4 344 26 7.654000
5 343 26 7.579000
6 343 24 7.110000
7 343 23 6.742000
8 342 20 5.940000
9 346 22 6.536000
10 343 26 7.774000
11 343 26 7.792000
12 344 24 7.055000
13 345 26 7.500000
14 348 25 7.228000
15 347 27 7.807000
16 347 39 11.134000
17 346 24 6.923000
18 346 23 6.597000
19 345 23 6.659000
20 345 25 7.154000
21 346 28 8.098000
22 346 26 7.570000
23 345 26 7.527000
24 338 30 8.692000
25 337 42 12.040000
26 338 25 7.403000
27 338 26 7.727000
28 337 24 7.137000
29 343 28 8.075000
30 345 25 7.281000
31 344 24 7.058000
32 344 22 6.498000
33 344 22 6.354000
34 344 22 6.395000
35 345 27 7.766000
36 343 25 7.217000
37 344 26 7.478000
38 345 20 5.781000
39 345 24 6.869000
40 343 30 8.583000
41 344 26 7.451000
42 343 19 5.490000
43 342 34 9.665000
44 342 22 6.370000
45 342 21 6.064000
46 343 21 6.032000
47 343 21 6.105000
48 345 23 6.743000
49 345 21 6.137000
50 345 25 7.310000
51 344 20 5.940000
52 343 22 6.427000
53 343 24 7.063000
54 347 22 6.458000
55 348 22 6.390000
56 348 22 6.375000
57 346 22 6.394000
58 347 25 7.217000
59 348 22 6.325000
60 348 21 6.054000
61 349 25 7.370000
62 349 23 6.690000
63 350 22 6.454000
64 346 22 6.439000
65 349 21 6.098000
66 348 21 6.154000
67 347 20 5.922000
68 351 21 6.105000
69 352 24 7.034000
70 345 22 6.520000
71 343 24 7.173000
72 343 15 4.517000
73 337 24 7.014000
74 339 22 6.362000
75 339 16 4.707000
76 340 21 6.177000
77 341 20 5.800000
78 340 20 5.905000
79 346 24 7.213000
80 344 23 6.805000
81 345 22 6.591000
82 344 18 5.420000
83 344 20 5.941000
84 348 16 4.847000
85 348 21 6.207000
86 348 19 5.602000
87 349 12 3.741000
88 349 17 5.098000
89 348 17 5.183000
90 346 17 5.085000
91 347 18 5.397000
92 347 15 4.486000
93 345 19 5.705000
94 343 19 5.784000
95 344 21 6.315000
96 344 20 5.987000
97 343 17 5.134000
98 343 19 5.846000
99 343 20 5.991000
100 343 19 5.752000
101 347 20 5.934000
102 347 18 5.339000
103 345 18 5.459000
104 345 17 5.026000
105 346 18 5.398000
106 346 18 5.399000
107 345 18 5.349000
108 345 19 5.659000
109 346 21 6.229000
110 344 22 6.539000
111 342 19 5.713000
112 342 17 5.122000
113 343 14 4.275000
114 343 21 6.228000
115 344 18 5.376000
116 344 18 5.388000
117 343 19 5.654000
118 343 18 5.463000
119 343 14 4.255000
120 343 15 4.475000
121 344 15 4.429000
122 342 16 4.753000
123 344 15 4.442000
124 343 16 4.786000
125 344 16 4.738000
